"","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","ResidntCntry","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean"
"1084",28,"Male","No Kids","ma","full-time",67500,"",4,0,"Village","India","Married","0",0,2,3,1,2,2,2,2,2,2,3,3,3,2,3,4,2,2,2,2,3,3,3,2,4,4,4,3,2,2,1,2,3,2,3,3,2,2,3,4,3,2,4,4,2,2,"yes","no",2,2.46666666666667,2.75,2.8
"1085",28,"Male","No Kids","deg","unemployed",10000,"",2,1,"Village","India","Married","0",0,5,5,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,2,4,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,1,1,3,4,"yes","yes",5,4.73333333333333,4.5,2
"1086",45,"Female","No Kids","phd","full-time",67500,"",2,0,"Village","India","Single","0",0,5,3,2,2,2,2,2,3,3,3,2,2,2,3,3,4,1,3,2,2,4,3,2,5,4,2,4,2,5,2,3,4,3,2,3,5,5,5,4,3,3,4,4,4,3,"yes","no",2.8,2.46666666666667,3.5,3.6
"1087",23,"Female","No Kids","ma","student",NA,"",0,0,"Village","India","Single","0",0,4,5,4,2,2,3,2,5,4,3,3,4,3,5,2,3,4,4,3,1,2,1,2,5,3,2,2,3,2,2,1,1,3,4,3,3,4,2,5,4,2,2,1,4,1,"yes","no",3.4,3.26666666666667,2.7,2
"1088",25,"Male","No Kids","ma","full-time",10000,"",0,6,"Village","India","Single","0",0,4,5,4,5,5,1,1,1,1,1,5,1,2,2,4,2,2,1,1,5,4,4,3,1,1,1,5,5,5,2,4,2,3,3,2,3,2,5,1,2,1,1,1,1,1,"yes","no",4.6,2,2.9,1
"1089",45,"Male","Yes Kids","deg","part-time",10000,"",5,3,"Village","India","Married","0",2,5,5,5,5,5,2,2,2,4,4,5,4,2,4,5,1,3,2,3,5,5,5,2,2,5,3,5,1,5,4,1,5,2,5,4,5,5,5,5,5,2,2,1,2,1,"yes","yes",5,3.2,3.95,1.6
"1090",19,"Male","No Kids","ltuni","student",NA,"",2,0,"Village","India","Single","0",0,3,5,5,3,3,2,3,2,4,4,5,5,3,5,4,2,3,4,4,5,4,1,1,1,1,1,3,2,4,2,2,3,2,3,3,4,4,4,4,4,1,2,1,1,1,"yes","yes",3.8,3.66666666666667,2.65,1.2
"1091",28,"Female","No Kids","ma","full-time",10000,"",4,0,"Village","India","Married","0",0,3,4,2,2,2,3,3,3,3,2,2,3,3,4,3,3,4,5,3,2,3,2,3,3,1,3,4,3,2,2,3,3,2,3,4,2,2,3,2,2,2,2,2,2,1,"yes","no",2.6,3.06666666666667,2.6,1.8
"1092",28,"Male","No Kids","deg","full-time",10000,"",0,7,"Village","India","Single","0",0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,1,1,1,1,1,"yes","yes",5,3.13333333333333,3,1
"1093",28,"Female","No Kids","ma","full-time",150000,"",3,7,"Village","India","Married","0",0,3,3,3,2,2,4,1,1,3,4,4,4,3,3,3,4,2,3,1,3,4,1,2,2,4,4,4,4,4,2,3,4,4,4,4,2,4,4,4,4,4,5,4,4,5,"yes","no",2.6,2.86666666666667,3.4,4.4
"1094",21,"Male","No Kids","ma","student",NA,"",0,0,"Rural/Country","India","Single","0",0,2,2,2,3,1,4,5,4,2,1,2,2,5,1,1,4,5,5,2,3,4,4,5,5,2,3,2,2,2,5,3,2,4,4,4,3,3,4,3,2,2,2,1,4,2,"no","no",2,3.06666666666667,3.3,2.2
"1095",21,"Female","No Kids","ma","student",NA,"",0,0,"Small Town","India","Single","0",0,2,2,3,2,2,2,1,4,2,2,2,2,4,2,2,4,2,4,3,1,2,1,2,3,2,2,2,3,2,1,3,2,3,3,4,3,2,4,2,3,3,5,5,5,5,"yes","no",2.2,2.46666666666667,2.45,4.6
"1096",23,"Male","No Kids","ma","student",NA,"",0,0,"Large-City","India","Single","0",0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"yes","no",2.2,3.4,3.05,2.6
"1097",23,"Male","No Kids","ma","student",NA,"",0,0,"","India","Single","0",0,3,2,2,1,1,1,1,3,1,1,4,1,3,4,1,4,4,4,2,1,1,2,2,2,1,5,1,2,1,5,4,4,2,3,2,2,1,2,2,2,1,5,5,3,2,"no","no",1.8,2.33333333333333,2.3,3.2
"1098",23,"Male","No Kids","ma","student",NA,"",0,0,"Large-City","India","Single","0",0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"yes","no",2.2,3.4,3.05,2.6
"1099",23,"Male","No Kids","ma","student",NA,"",0,0,"Large-City","India","Single","0",0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"yes","no",2.2,3.4,3.05,2.6
"1100",21,"Female","No Kids","ma","student",NA,"",1,0,"Rural/Country","India","Single","0",0,2,3,2,2,1,4,3,2,5,3,5,2,4,2,4,1,3,3,4,4,2,1,1,5,4,4,3,2,4,4,1,2,4,4,4,1,1,4,5,4,4,5,5,5,3,"yes","no",2,3.26666666666667,3,4.4
"1101",22,"Female","No Kids","ma","student",NA,"",0,0,"Village","India","Single","0",0,3,3,4,2,1,1,2,2,3,3,3,3,3,2,3,2,3,5,4,3,3,2,2,2,5,2,2,3,3,4,3,3,2,4,3,4,3,3,3,3,4,3,4,4,4,"no","no",2.6,2.8,2.95,3.8
"1102",21,"Female","No Kids","ma","student",NA,"",0,0,"Small Town","India","Single","0",0,3,4,5,2,2,4,3,4,3,3,2,4,4,2,3,4,3,4,4,2,4,3,4,2,2,3,2,4,2,2,4,2,1,3,4,5,3,3,4,4,2,3,2,3,3,"yes","no",3.2,3.26666666666667,3.05,2.6
"1103",21,"Male","No Kids","ma","student",NA,"",0,0,"Village","India","Single","0",0,3,1,5,1,1,3,3,4,4,1,1,5,2,1,1,2,3,2,3,1,3,1,2,5,1,5,1,1,3,3,5,1,1,3,3,5,1,2,3,1,4,5,5,4,4,"no","no",2.2,2.4,2.5,4.4
"1104",22,"Male","No Kids","ma","student",NA,"",0,0,"Rural/Country","India","Single","0",0,2,4,2,3,3,2,3,5,3,2,4,3,3,4,2,1,4,4,3,4,4,1,3,3,3,1,4,3,2,2,5,1,2,3,3,4,2,4,4,4,2,3,4,1,4,"yes","yes",2.8,3.13333333333333,2.9,2.8
"1105",20,"Male","No Kids","ma","student",NA,"",0,0,"Rural/Country","India","Single","0",0,4,2,4,3,3,2,2,5,1,2,4,4,4,3,3,3,3,4,2,3,4,2,2,5,2,2,3,2,4,2,3,4,2,3,2,4,4,3,5,4,3,4,2,2,1,"yes","no",3.2,3,3.1,2.4
"1106",23,"Male","No Kids","ma","student",NA,"",0,0,"Large-City","India","Single","0",0,4,3,2,3,3,4,3,3,4,2,4,2,4,3,2,4,4,3,2,2,3,3,4,4,2,3,4,3,2,2,4,2,4,4,3,2,2,4,2,3,2,2,4,3,2,"yes","yes",3,3.06666666666667,3,2.6
"1107",22,"Male","No Kids","ma","student",NA,"",0,0,"Rural/Country","India","Single","0",0,3,3,4,2,4,3,2,1,2,2,3,2,3,2,2,4,3,4,3,3,4,2,2,4,2,3,3,3,3,4,3,3,2,3,4,5,2,4,5,3,4,4,4,3,3,"yes","yes",3.2,2.6,3.2,3.6
"1108",21,"Female","No Kids","ma","student",NA,"",0,0,"Village","India","Single","0",0,2,2,4,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,3,2,3,2,2,4,4,4,5,5,"no","no",2.4,2.13333333333333,2.3,4.4
"1109",22,"Male","No Kids","ma","student",NA,"",1,3,"Rural/Country","India","Single","0",0,4,4,4,2,2,4,4,4,2,3,4,4,2,2,2,2,2,2,3,4,4,2,2,3,2,2,2,2,4,4,3,4,2,3,4,4,4,2,2,2,1,2,2,2,4,"no","no",3.2,2.93333333333333,2.85,2.2
"1110",23,"Male","No Kids","ma","student",NA,"",0,0,"Large-City","India","Single","0",0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,"yes","no",2.2,3.4,3.05,2.6
"1112",25,"Male","No Kids","ma","student",NA,"",0,0,"Medium-Sized","India","Single","0",0,4,4,3,4,3,2,2,3,3,3,4,4,3,2,3,3,2,2,3,4,3,2,2,2,2,3,3,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,"no","no",3.6,2.86666666666667,2.8,2.4
"1113",22,"Male","No Kids","ma","student",NA,"",0,0,"Village","India","Single","0",0,2,2,4,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,3,3,3,2,3,2,2,3,3,3,3,3,"no","no",2.4,2.06666666666667,2.35,3
"1114",23,"Male","No Kids","deg","full-time",10000,"",2,0,"Village","India","Single","0",0,3,3,4,2,2,5,2,3,3,3,3,2,2,3,4,1,2,2,2,3,3,1,2,3,2,1,4,2,4,2,2,3,1,1,3,2,2,3,3,3,3,3,3,3,1,"yes","yes",2.8,2.66666666666667,2.35,2.6
"1118",22,"Female","No Kids","deg","student",10000,"",1,1,"8","India","Single","0",0,4,3,4,2,2,2,2,3,2,2,3,3,3,2,3,4,3,4,2,3,3,4,3,2,3,1,2,3,3,3,3,4,1,3,4,4,4,2,4,3,3,4,4,4,3,"no","no",3,2.73333333333333,2.95,3.6
"1121",22,"Female","No Kids","ma","student",NA,"",0,0,"Village","India","Single","0",0,3,3,4,3,3,1,2,2,2,2,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,3,3,1,5,1,2,3,3,2,2,3,3,2,3,3,4,3,2,"yes","no",3.2,2.4,2.45,3
"1122",23,"Male","No Kids","ma","student",NA,"",0,0,"Small Town","India","Single","0",0,1,2,3,4,5,3,3,4,3,4,2,2,2,3,5,1,2,3,2,1,2,3,2,1,4,3,2,5,2,3,5,2,3,2,1,4,3,4,1,4,1,2,3,4,5,"yes","yes",3,2.66666666666667,2.8,3
"1123",22,"Female","No Kids","ma","student",150000,"",1,4,"Small Town","India","Single","0",0,2,3,3,2,2,4,3,3,3,3,4,4,1,5,5,1,4,4,3,3,5,5,5,5,3,3,3,2,4,4,4,2,3,2,2,2,2,4,1,5,3,3,2,3,3,"yes","yes",2.4,3.33333333333333,3.3,2.8
"1124",22,"Female","No Kids","ma","student",150000,"",1,4,"Small Town","India","Single","0",0,2,2,3,3,1,5,5,5,5,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,2,3,2,5,3,4,4,4,3,3,3,3,4,2,1,2,3,3,"yes","yes",2.2,3.66666666666667,3.35,2.2
"1125",22,"Female","No Kids","ma","student",150000,"",1,2,"Small Town","India","Single","0",0,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,4,5,4,3,4,4,3,3,3,4,3,2,3,4,4,4,2,3,3,3,3,2,3,3,3,1,2,3,3,3,"yes","yes",2.4,3.2,3.1,2.4
"1126",37.5,"Male","Yes Kids","ma","full-time",10000,"",13,0,"Village","India","Married","0",2,4,3,4,3,3,1,1,2,2,3,3,4,4,2,3,2,2,3,2,4,4,4,4,1,5,2,4,4,4,3,2,4,2,2,4,2,3,5,4,4,4,4,3,4,2,"yes","yes",3.4,2.53333333333333,3.35,3.4
"1127",32.5,"Female","No Kids","ma","unemployed",10000,"",5,2,"Village","India","Single","0",0,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,3,3,2,2,2,"yes","yes",5,4.8,4.75,2.4
"1128",45,"Male","No Kids","deg","full-time",87500,"",1,0,"Small Town","India","Single","0",0,2,4,4,1,1,1,1,1,5,1,2,4,2,1,1,5,3,5,1,1,5,1,2,1,2,1,3,2,5,1,5,5,3,1,5,4,2,3,5,2,4,4,4,4,4,"yes","yes",2.4,2.26666666666667,2.9,4
"1129",21,"Female","No Kids","ma","student",10000,"",0,0,"Village","India","Single","0",0,2,3,4,2,1,1,1,3,3,1,4,4,2,5,3,3,4,3,2,1,3,1,2,1,1,2,2,1,4,4,1,3,1,4,3,4,2,2,2,2,3,5,4,4,1,"no","no",2.4,2.66666666666667,2.25,3.4
"1130",32.5,"Male","Yes Kids","ma","full-time",NA,"",9,0,"Village","India","Married","1",0,3,4,2,3,3,3,2,2,2,4,4,4,4,2,4,1,2,4,2,3,3,2,2,2,3,2,2,2,3,1,2,3,2,3,3,4,3,4,4,4,4,4,4,4,2,"yes","yes",3,2.86666666666667,2.7,3.6
"1131",37.5,"Female","No Kids","ma","full-time",67500,"",7,0,"Village","India","Single","0",0,3,1,2,2,2,2,1,1,1,3,1,2,5,2,5,3,1,3,1,4,5,1,1,4,2,1,5,1,5,2,3,5,3,1,5,1,1,5,5,5,4,5,5,5,3,"yes","no",2,2.33333333333333,3.05,4.4
"1132",45,"Male","Yes Kids","deg","part-time",87500,"",1,2,"Village","India","Married","1",0,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,1,5,1,5,5,5,5,5,4,5,5,5,1,2,1,1,1,"yes","yes",5,4.4,4.45,1.2
"1133",28,"Male","No Kids","ma","full-time",25000,"",1,0,"Village","India","Single","0",0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,2,2,3,4,2,"yes","yes",5,3.13333333333333,3,2.6
"1134",55,"Female","Yes Kids","phd","full-time",67500,"",1,0,"Small Town","India","Married","0",2,3,2,4,2,2,1,1,1,2,2,2,1,1,1,1,3,2,2,2,1,1,1,1,3,1,2,2,1,1,1,4,2,1,1,1,1,1,2,1,3,3,3,3,4,2,"no","no",2.6,1.53333333333333,1.55,3
"1135",20,"Male","No Kids","lthigh","student",67500,"",12,2,"Village","India","Single","0",0,3,4,2,2,3,3,3,3,3,4,4,2,4,3,3,3,3,3,2,3,4,2,2,3,4,3,3,3,4,4,3,3,2,3,4,3,2,4,5,3,2,2,1,2,1,"yes","yes",2.8,3.06666666666667,3.2,1.6
"1136",55,"Male","Yes Kids","phd","full-time",150000,"student",10,10,"Medium-Sized","United States","Married","0",2,3,4,5,3,3,1,2,5,4,3,1,5,4,3,4,4,3,1,3,3,3,2,3,1,5,1,3,5,5,3,5,4,1,5,4,5,5,4,4,4,3,3,3,3,2,"yes","yes",3.6,3.06666666666667,3.6,2.8
"1137",55,"Male","Yes Kids","ma","full-time",150000,"engineer",28,0,"Small City","United States","Married","3",1,4,4,3,3,3,2,3,5,4,4,4,4,3,3,4,3,4,4,3,3,3,2,4,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",3.4,3.53333333333333,3.55,2.8
"1141",37.5,"Male","Yes Kids","phd","part-time",45000,"Professor",0,2,"Large Town","United States","Married","0",1,4,4,4,4,4,1,1,5,2,4,3,3,4,4,4,2,2,3,2,2,4,3,3,3,2,3,4,4,4,2,2,4,2,2,4,4,4,4,3,4,2,2,2,2,2,"yes","yes",4,2.8,3.25,2
"1142",28,"Male","No Kids","ltuni","full-time",15000,"Server",0,5,"Small City","United States","Single","0",0,3,1,3,2,2,2,3,5,2,4,1,3,4,4,5,1,5,5,4,5,1,2,3,3,4,5,4,5,5,3,3,5,4,4,4,3,3,5,5,5,2,3,3,3,5,"yes","yes",2.2,3.53333333333333,3.8,3.2
"1143",45,"Female","No Kids","ma","full-time",67500,"Collection management specialist",0,8,"Large-City","United States","Single","0",0,3,3,3,3,3,1,2,2,3,3,4,3,3,3,3,2,3,3,3,3,3,2,2,3,4,2,3,3,3,3,3,3,4,2,3,3,3,3,3,4,4,4,4,4,4,"yes","no",3,2.73333333333333,2.95,4
"1144",32.5,"Female","No Kids","deg","part-time",15000,"IT Consultant",2,0,"Large-City","United States","Single","0",0,2,1,2,2,2,1,3,1,4,4,2,4,3,4,4,1,4,3,4,3,2,1,1,3,1,4,2,3,3,2,2,4,1,1,2,3,2,2,2,1,4,4,4,3,4,"yes","yes",1.8,3,2.1,3.8
"1147",37.5,"Female","No Kids","ltuni","full-time",67500,"project manager",5,0,"Small Town","United States","Single","0",0,2,4,4,3,3,4,1,2,3,2,5,3,3,2,3,3,1,4,1,4,4,2,2,1,4,4,3,4,4,2,4,4,3,4,3,5,5,3,4,4,1,1,1,1,2,"yes","yes",3.2,2.73333333333333,3.45,1.2
"1148",45,"Female","No Kids","phd","full-time",250000,"director",4,0,"Large-City","United States","Single","0",0,5,5,5,4,4,5,4,3,5,5,2,5,5,5,5,5,5,4,4,5,5,4,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,1,1,"yes","yes",4.6,4.46666666666667,4.65,1.4
"1149",16.5,"Male","No Kids","lthigh","student",15000,"Lift Ops",1,0,"Small Town","United States","Single","0",0,3,3,3,3,3,3,1,5,2,3,2,3,3,4,3,2,3,2,2,3,4,1,2,3,3,2,3,3,4,2,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,"no","no",3,2.73333333333333,2.8,3.2
"1150",67.5,"Female","No Kids","ma","part-time",25000,"Self-employed Family Therapist",17,0,"Medium-Sized","United States","Divorced","0",0,3,3,3,3,3,1,2,4,3,3,2,3,3,2,2,3,4,2,4,1,3,1,2,3,2,1,3,3,2,2,4,2,1,1,3,2,2,3,3,3,2,2,2,3,3,"yes","no",3,2.6,2.3,2.4
"1151",22,"Female","No Kids","ma","full-time",35000,"Teacher",0,9,"Large-City","United States","Single","0",0,2,4,4,1,1,2,2,4,4,1,1,1,3,1,1,5,5,5,3,2,3,1,2,3,4,4,3,4,3,4,4,3,3,3,4,4,4,2,4,2,5,5,5,5,3,"no","no",2.4,2.66666666666667,3.2,4.6
"1152",45,"Female","Yes Kids","deg","full-time",55000,"Graphic Designer",17,0,"Small Town","United States","Married","3",0,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,4,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,3,2,2,2,1,1,1,1,1,"no","no",1.8,1.4,1.75,1
"1153",45,"Male","No Kids","ltuni","part-time",25000,"manager",8,0,"Small Town","United States","Married","0",0,3,4,4,4,4,2,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,5,4,3,2,3,3,2,"yes","yes",3.8,3.6,3.65,2.6
"1156",28,"Female","Yes Kids","dip","full-time",45000,"Teacher",10,0,"Large-City","United States","Married","1",1,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,5,5,4,4,5,4,4,2,4,5,4,4,3,4,4,5,4,3,4,4,4,4,4,4,5,2,4,2,3,2,"yes","yes",4.4,4.46666666666667,3.95,2.6
"1157",25,"Female","No Kids","dip","full-time",25000,"Camera Coordinator",0,3,"Medium-Sized","United States","Divorced","0",0,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,4,1,2,4,2,2,3,2,1,2,3,2,4,4,4,4,5,"no","no",1.4,1.53333333333333,2.05,4.2
"1159",45,"Male","No Kids","ltuni","full-time",150000,"Designer",23,0,"Medium-Sized","United States","Single","0",0,3,4,2,3,3,3,1,4,3,4,4,3,2,4,4,4,2,4,2,4,3,2,2,3,2,4,3,2,3,3,2,2,4,4,3,4,3,3,3,2,4,4,4,4,3,"yes","yes",3,3.2,2.85,3.8
"1161",20,"Female","No Kids","dip","student",10000,"Produce Associate",1,7,"Rural/Country","United States","Single","0",0,2,3,4,3,3,1,1,3,2,2,1,3,3,2,2,3,3,2,3,2,2,2,2,1,2,2,2,4,3,2,2,3,2,4,3,5,3,4,2,3,5,4,4,4,4,"no","no",3,2.2,2.65,4.2
"1162",45,"Male","No Kids","ma","full-time",45000,"Teacher",9,0,"Large-City","United States","Married","0",0,3,2,1,3,3,2,1,3,2,3,4,1,3,3,3,2,2,3,2,4,4,3,2,5,3,4,3,3,3,1,4,4,2,4,3,3,2,4,3,4,4,3,2,3,1,"yes","no",2.4,2.53333333333333,3.2,2.6
"1164",67.5,"Female","Yes Kids","high","full-time",25000,"supervisor shelderd workshop for handcap",10,5,"","United States","Married","0",0,3,3,2,2,2,1,1,3,1,1,5,5,2,2,3,5,1,1,1,2,3,3,4,1,3,3,3,2,4,2,3,3,1,3,3,4,4,3,3,3,4,3,5,5,3,"","",2.4,2.26666666666667,2.9,4
"1165",55,"Female","Yes Kids","ltuni","full-time",35000,"Braillist",14,0,"Medium-Sized","United States","Divorced","0",0,3,4,5,3,3,1,1,4,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,3,1,1,1,3,1,"no","no",3.6,1.6,1.4,1.4
"1166",55,"Female","Yes Kids","deg","full-time",45000,"election services",23,0,"Large-City","United States","Married","1",2,1,1,1,1,1,2,2,2,1,1,4,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,3,1,2,1,2,1,1,2,1,1,2,2,3,3,2,"no","no",1,1.73333333333333,1.35,2.4
"1167",32.5,"Female","Yes Kids","dip","student",10000," houswife",0,6,"Small City","United States","Married","4",0,3,3,1,2,2,1,2,3,4,3,5,2,3,3,4,2,4,2,3,3,3,1,1,3,2,2,2,2,3,3,2,4,1,2,3,1,1,3,2,2,4,4,4,5,4,"yes","no",2.2,2.93333333333333,2.15,4.2
"1170",55,"Female","Yes Kids","deg","full-time",35000,"manager",13,0,"Small Town","United States","Single","1",1,4,3,4,3,3,3,1,3,1,3,5,1,3,3,3,3,1,3,1,3,3,2,3,5,4,3,3,4,3,2,4,3,4,5,3,4,4,4,4,4,2,3,3,3,2,"yes","yes",3.4,2.46666666666667,3.55,2.6
"1173",24,"Male","No Kids","high","full-time",25000,"Corrections",4,3,"Large Town","United States","Married","0",0,2,1,2,1,1,4,1,4,1,2,1,4,2,3,2,4,1,2,1,5,3,1,4,4,1,1,3,1,1,2,2,3,3,5,3,5,5,3,5,4,4,2,4,3,2,"yes","yes",1.4,2.46666666666667,2.95,3
"1175",32.5,"Male","Yes Kids","ma","full-time",150000,"manager",3,0,"Large-City","United States","Married","0",1,4,4,4,3,3,1,2,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,5,4,4,4,4,4,3,4,4,2,4,4,5,4,4,4,4,3,4,4,4,3,"yes","yes",3.6,3.2,3.85,3.6
"1176",37.5,"Male","Yes Kids","deg","full-time",35000,"Probation Supervisor",0,3,"Medium-Sized","United States","Married","0",0,3,4,4,3,3,2,2,4,3,2,2,4,3,2,3,4,3,4,2,4,4,2,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,2,3,4,2,"yes","yes",3.4,2.93333333333333,3.45,2.8
"1178",20,"Male","No Kids","ltuni","full-time",25000,"Bank Teller",1,2,"Medium-Sized","United States","Single","0",0,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3,3,3,3,2,2,"yes","yes",2.8,3.13333333333333,2.85,2.6
"1179",32.5,"Male","Yes Kids","ltuni","full-time",45000,"Computer Operator",5,4,"Large-City","United States","Married","1",0,2,2,3,2,2,1,1,5,1,2,3,2,2,1,2,4,1,3,1,2,2,1,1,3,2,3,3,3,3,1,1,2,2,1,1,4,3,3,2,3,2,3,2,2,2,"no","yes",2.2,2.06666666666667,2.2,2.2
"1180",28,"Female","No Kids","deg","full-time",35000,"Case Manager",0,2,"Small City","United States","Single","0",0,5,5,5,5,5,2,3,5,5,5,4,5,5,2,5,5,4,4,3,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,3,4,3,"yes","yes",5,4.13333333333333,4.8,3.2
"1181",28,"Female","Yes Kids","ltuni","full-time",55000,"LPN",4,0,"Medium-Sized","United States","Separated","3",1,4,3,4,3,2,4,4,4,4,3,4,5,3,2,1,4,4,1,3,3,4,3,3,4,3,4,4,3,4,3,5,4,2,4,4,3,3,4,3,5,1,1,1,1,5,"yes","yes",3.2,3.26666666666667,3.6,1.8
"1182",55,"Male","No Kids","ma","part-time",250000,"President",3,0,"Small City","United States","Married","0",0,2,3,2,2,2,2,3,3,4,2,1,4,3,3,2,2,4,2,4,3,4,2,2,4,4,4,3,4,4,4,4,3,4,4,4,3,2,4,4,3,4,4,4,4,4,"yes","no",2.2,2.8,3.5,4
"1183",32.5,"Female","No Kids","deg","student",10000,"Massage Therapist",0,2,"Large-City","United States","Married","0",0,3,3,3,3,3,2,1,4,3,2,3,3,3,2,3,3,4,3,1,3,3,3,3,2,3,3,3,3,4,1,3,3,3,2,3,3,3,3,4,3,4,4,4,4,4,"yes","no",3,2.66666666666667,2.9,4
"1185",45,"Male","No Kids","ma","full-time",250000,"vice president",3,0,"Large-City","United States","Married","0",0,4,4,3,3,3,1,1,3,3,3,4,2,3,1,4,5,1,2,1,5,4,1,3,1,1,1,3,2,4,1,2,5,1,4,3,4,1,4,4,4,3,3,2,3,1,"yes","no",3.4,2.6,2.65,2.4
"1186",32.5,"Female","No Kids","ltuni","full-time",35000,"Traffic Reporter-Radio",5,7,"Large-City","United States","Single","0",0,3,2,2,3,2,1,2,1,3,2,2,2,3,2,3,2,3,1,3,2,3,1,1,2,1,2,2,2,4,3,3,3,2,2,2,4,2,3,2,2,4,4,4,3,5,"yes","no",2.4,2.13333333333333,2.3,4
"1188",45,"Female","No Kids","ma","full-time",35000,"Residential Services Supervisor",1,7,"Medium-Sized","United States","Married","0",0,2,3,2,1,1,1,1,1,3,2,5,1,3,2,4,3,2,3,3,3,3,2,2,3,2,2,1,2,1,3,3,2,1,4,2,4,1,1,1,2,4,5,5,4,4,"no","no",1.8,2.46666666666667,2.1,4.4
"1189",32.5,"Male","No Kids","deg","full-time",45000,"Language Service Provider",2,0,"Large-City","United States","Single","0",0,3,2,2,2,2,2,3,5,4,1,1,5,4,2,4,5,5,5,4,3,4,3,4,2,4,4,4,2,4,5,5,4,3,3,4,5,4,4,4,4,1,3,2,1,1,"yes","yes",2.2,3.53333333333333,3.8,1.6
"1190",55,"Female","No Kids","phd","full-time",87500,"Attorney",30,0,"Large-City","United States","Divorced","0",0,2,2,2,1,1,1,1,1,1,1,3,1,2,1,3,1,2,1,1,1,4,1,1,2,1,1,3,2,3,1,1,3,3,1,3,1,1,3,3,5,4,4,4,4,4,"yes","no",1.6,1.4,2.15,4
"1191",55,"Female","Yes Kids","deg","unemployed",250000," houswife",23,0,"Large Town","United States","Married","1",1,3,2,1,1,1,1,1,1,4,1,3,2,3,1,2,4,2,3,1,3,5,1,1,1,1,1,4,2,5,1,3,4,1,1,4,3,1,5,5,5,4,5,4,5,4,"yes","no",1.6,2.13333333333333,2.7,4.4
