"","ResidntCntry","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean","HDI","category"
"554","India",25,"Male","No Kids","ma","student",NA,"",0,0,"Medium-Sized","Single","0",0,4,4,3,4,3,2,2,3,3,3,4,4,3,2,3,3,2,2,3,4,3,2,2,2,2,3,3,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,"no","no",3.6,2.86666666666667,2.8,2.4,0.624,"Medium human development index"
"555","India",22,"Male","No Kids","ma","student",NA,"",0,0,"Village","Single","0",0,2,2,4,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,3,3,3,2,3,2,2,3,3,3,3,3,"no","no",2.4,2.06666666666667,2.35,3,0.624,"Medium human development index"
"556","India",23,"Male","No Kids","deg","full-time",10000,"",2,0,"Village","Single","0",0,3,3,4,2,2,5,2,3,3,3,3,2,2,3,4,1,2,2,2,3,3,1,2,3,2,1,4,2,4,2,2,3,1,1,3,2,2,3,3,3,3,3,3,3,1,"yes","yes",2.8,2.66666666666667,2.35,2.6,0.624,"Medium human development index"
"557","India",22,"Female","No Kids","deg","student",10000,"",1,1,"8","Single","0",0,4,3,4,2,2,2,2,3,2,2,3,3,3,2,3,4,3,4,2,3,3,4,3,2,3,1,2,3,3,3,3,4,1,3,4,4,4,2,4,3,3,4,4,4,3,"no","no",3,2.73333333333333,2.95,3.6,0.624,"Medium human development index"
"558","India",22,"Female","No Kids","ma","student",NA,"",0,0,"Village","Single","0",0,3,3,4,3,3,1,2,2,2,2,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,3,3,1,5,1,2,3,3,2,2,3,3,2,3,3,4,3,2,"yes","no",3.2,2.4,2.45,3,0.624,"Medium human development index"
"559","India",23,"Male","No Kids","ma","student",NA,"",0,0,"Small Town","Single","0",0,1,2,3,4,5,3,3,4,3,4,2,2,2,3,5,1,2,3,2,1,2,3,2,1,4,3,2,5,2,3,5,2,3,2,1,4,3,4,1,4,1,2,3,4,5,"yes","yes",3,2.66666666666667,2.8,3,0.624,"Medium human development index"
"560","India",22,"Female","No Kids","ma","student",150000,"",1,4,"Small Town","Single","0",0,2,3,3,2,2,4,3,3,3,3,4,4,1,5,5,1,4,4,3,3,5,5,5,5,3,3,3,2,4,4,4,2,3,2,2,2,2,4,1,5,3,3,2,3,3,"yes","yes",2.4,3.33333333333333,3.3,2.8,0.624,"Medium human development index"
"561","India",22,"Female","No Kids","ma","student",150000,"",1,4,"Small Town","Single","0",0,2,2,3,3,1,5,5,5,5,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,2,3,2,5,3,4,4,4,3,3,3,3,4,2,1,2,3,3,"yes","yes",2.2,3.66666666666667,3.35,2.2,0.624,"Medium human development index"
"562","India",22,"Female","No Kids","ma","student",150000,"",1,2,"Small Town","Single","0",0,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,4,5,4,3,4,4,3,3,3,4,3,2,3,4,4,4,2,3,3,3,3,2,3,3,3,1,2,3,3,3,"yes","yes",2.4,3.2,3.1,2.4,0.624,"Medium human development index"
"563","India",37.5,"Male","Yes Kids","ma","full-time",10000,"",13,0,"Village","Married","0",2,4,3,4,3,3,1,1,2,2,3,3,4,4,2,3,2,2,3,2,4,4,4,4,1,5,2,4,4,4,3,2,4,2,2,4,2,3,5,4,4,4,4,3,4,2,"yes","yes",3.4,2.53333333333333,3.35,3.4,0.624,"Medium human development index"
"564","India",32.5,"Female","No Kids","ma","unemployed",10000,"",5,2,"Village","Single","0",0,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,3,3,2,2,2,"yes","yes",5,4.8,4.75,2.4,0.624,"Medium human development index"
"565","India",45,"Male","No Kids","deg","full-time",87500,"",1,0,"Small Town","Single","0",0,2,4,4,1,1,1,1,1,5,1,2,4,2,1,1,5,3,5,1,1,5,1,2,1,2,1,3,2,5,1,5,5,3,1,5,4,2,3,5,2,4,4,4,4,4,"yes","yes",2.4,2.26666666666667,2.9,4,0.624,"Medium human development index"
"566","India",21,"Female","No Kids","ma","student",10000,"",0,0,"Village","Single","0",0,2,3,4,2,1,1,1,3,3,1,4,4,2,5,3,3,4,3,2,1,3,1,2,1,1,2,2,1,4,4,1,3,1,4,3,4,2,2,2,2,3,5,4,4,1,"no","no",2.4,2.66666666666667,2.25,3.4,0.624,"Medium human development index"
"567","India",32.5,"Male","Yes Kids","ma","full-time",NA,"",9,0,"Village","Married","1",0,3,4,2,3,3,3,2,2,2,4,4,4,4,2,4,1,2,4,2,3,3,2,2,2,3,2,2,2,3,1,2,3,2,3,3,4,3,4,4,4,4,4,4,4,2,"yes","yes",3,2.86666666666667,2.7,3.6,0.624,"Medium human development index"
"568","India",37.5,"Female","No Kids","ma","full-time",67500,"",7,0,"Village","Single","0",0,3,1,2,2,2,2,1,1,1,3,1,2,5,2,5,3,1,3,1,4,5,1,1,4,2,1,5,1,5,2,3,5,3,1,5,1,1,5,5,5,4,5,5,5,3,"yes","no",2,2.33333333333333,3.05,4.4,0.624,"Medium human development index"
"569","India",45,"Male","Yes Kids","deg","part-time",87500,"",1,2,"Village","Married","1",0,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,1,5,1,5,5,5,5,5,4,5,5,5,1,2,1,1,1,"yes","yes",5,4.4,4.45,1.2,0.624,"Medium human development index"
"570","India",28,"Male","No Kids","ma","full-time",25000,"",1,0,"Village","Single","0",0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,2,2,3,4,2,"yes","yes",5,3.13333333333333,3,2.6,0.624,"Medium human development index"
"571","India",55,"Female","Yes Kids","phd","full-time",67500,"",1,0,"Small Town","Married","0",2,3,2,4,2,2,1,1,1,2,2,2,1,1,1,1,3,2,2,2,1,1,1,1,3,1,2,2,1,1,1,4,2,1,1,1,1,1,2,1,3,3,3,3,4,2,"no","no",2.6,1.53333333333333,1.55,3,0.624,"Medium human development index"
"572","India",20,"Male","No Kids","lthigh","student",67500,"",12,2,"Village","Single","0",0,3,4,2,2,3,3,3,3,3,4,4,2,4,3,3,3,3,3,2,3,4,2,2,3,4,3,3,3,4,4,3,3,2,3,4,3,2,4,5,3,2,2,1,2,1,"yes","yes",2.8,3.06666666666667,3.2,1.6,0.624,"Medium human development index"
"573","Iran",19,"Male","No Kids","ltuni","part-time",15000,"Dish Washer",0,0,"Small City","Single","0",0,3,4,4,4,3,3,2,3,2,3,4,3,3,3,3,3,2,3,3,1,3,3,2,3,2,3,3,3,3,2,3,3,2,2,3,4,3,2,4,3,4,4,4,4,4,"yes","no",3.6,2.73333333333333,2.8,4,0.774,"Medium-high human development index"
"574","Iran",23,"Female","No Kids","deg","part-time",NA,"",0,8,"Village","Single","0",0,3,4,4,4,4,3,5,5,4,5,4,5,4,5,5,3,4,4,5,4,4,4,2,5,4,5,3,4,5,3,5,4,3,4,5,4,4,5,4,4,2,3,2,3,3,"yes","yes",3.8,4.33333333333333,4.05,2.6,0.774,"Medium-high human development index"
"575","Ireland",28,"Male","No Kids","phd","full-time",35000,"Research Scientist",1,0,"Large-City","Married","0",0,3,2,3,1,1,1,1,2,1,1,5,2,3,2,2,2,1,2,1,1,2,1,1,1,3,1,3,3,3,1,1,3,3,2,3,4,2,3,4,1,5,5,5,5,5,"yes","no",2,1.8,2.25,5,0.923,"High human development index"
"576","Ireland",45,"Male","Yes Kids","dip","unemployed",15000,"Disability Allowance",7,0,"Large-City","Separated","0",1,5,4,5,4,4,5,3,5,1,5,1,4,5,5,5,2,5,4,4,4,5,1,5,5,4,4,5,4,5,4,3,4,4,5,3,4,4,5,5,5,3,3,3,3,4,"yes","yes",4.4,3.86666666666667,4.2,3.2,0.923,"High human development index"
"577","Ireland",67.5,"Male","Yes Kids","high","retired",45000,"retired",10,6,"Rural/Country","Married","1",7,4,5,5,4,4,5,1,5,4,4,2,5,5,5,5,2,1,1,1,4,5,4,2,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,4,4,1,"yes","yes",4.4,3.33333333333333,4.45,3,0.923,"High human development index"
"578","Ireland",28,"Male","No Kids","deg","full-time",55000,"Doctor; Physician",3,0,"Large-City","Single","0",0,4,3,4,4,4,3,2,3,4,4,5,4,4,5,5,4,2,4,2,4,5,2,4,5,4,3,4,4,4,5,2,4,3,4,4,5,5,5,5,4,3,4,3,3,1,"yes","no",3.8,3.66666666666667,4.05,2.8,0.923,"High human development index"
"579","Ireland",22,"Male","No Kids","ma","part-time",15000,"Sales Expert",3,0,"Small City","Single","0",0,4,3,4,3,3,2,3,3,4,3,5,4,5,5,5,3,3,4,3,2,4,4,3,5,5,4,5,5,5,4,4,5,3,2,4,4,4,5,4,4,1,1,1,2,1,"yes","no",3.4,3.6,4.15,1.2,0.923,"High human development index"
"580","Ireland",32.5,"Female","No Kids","ma","student",35000,"",4,0,"Village","Single","0",0,4,4,2,3,3,1,1,4,3,4,2,4,4,4,4,3,2,4,2,4,4,2,3,2,4,3,4,3,4,2,3,4,2,3,4,3,4,4,4,4,2,3,2,2,2,"yes","yes",3.2,3.06666666666667,3.3,2.2,0.923,"High human development index"
"581","Ireland",24,"Female","No Kids","deg","full-time",35000,"",1,0,"Village","Single","0",0,4,4,4,4,4,4,1,2,2,2,3,4,2,2,2,3,2,4,2,3,3,3,3,4,5,4,4,4,4,2,3,3,4,4,4,4,4,4,4,3,2,3,2,2,2,"yes","yes",4,2.53333333333333,3.65,2.2,0.923,"High human development index"
"582","Ireland",67.5,"Male","Yes Kids","ma","retired",35000,"",0,0,"Small Town","Divorced","1",1,2,2,4,2,2,3,3,5,3,3,1,2,3,2,2,3,4,3,2,1,3,3,3,4,2,2,2,4,3,2,4,2,3,3,3,2,2,3,2,4,4,4,4,4,4,"no","no",2.4,2.66666666666667,2.8,4,0.923,"High human development index"
"583","Ireland",23,"Female","No Kids","deg","student",10000,"",2,0,"Large-City","Single","0",0,5,5,5,4,4,1,2,2,1,4,4,3,4,2,4,5,2,5,1,3,5,3,4,5,3,5,4,4,4,2,4,4,1,4,5,4,4,5,5,5,1,1,2,1,1,"yes","no",4.6,2.86666666666667,4,1.2,0.923,"High human development index"
"584","Ireland",37.5,"Male","No Kids","phd","full-time",55000,"",0,6,"Village","Single","0",0,3,4,3,3,3,2,3,2,3,4,4,4,4,4,4,2,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4,5,2,4,4,3,3,4,3,5,2,3,2,3,2,"yes","yes",3.2,3.4,3.55,2.4,0.923,"High human development index"
"585","Ireland",23,"Female","No Kids","ma","student",15000,"",1,0,"Village","Single","0",0,4,5,3,5,5,5,5,5,5,4,3,5,5,3,5,4,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,"yes","yes",4.4,4.6,4.7,3.8,0.923,"High human development index"
"586","Ireland",37.5,"Female","Yes Kids","lthigh","full-time",NA,"",6,0,"Rural/Country","Widowed","1",2,5,5,3,2,3,3,3,4,5,5,5,5,4,3,5,2,4,5,5,5,5,3,3,2,5,3,5,3,5,3,3,5,4,3,4,5,5,4,5,4,3,4,3,4,3,"yes","yes",3.6,4.2,3.95,3.4,0.923,"High human development index"
"587","Ireland",55,"Female","Yes Kids","deg","part-time",25000,"",5,6,"Small Town","Married","0",0,3,2,2,1,1,1,1,3,1,2,4,1,3,1,2,2,1,2,1,3,5,1,1,2,2,3,5,3,5,1,3,4,3,2,3,2,1,4,5,4,4,4,4,5,4,"yes","no",1.8,1.86666666666667,2.95,4.2,0.923,"High human development index"
"588","Ireland",45,"Male","No Kids","ltuni","part-time",55000,"",5,0,"8","Married","0",0,5,2,2,1,1,1,1,5,1,1,1,1,4,5,3,1,1,5,1,1,5,1,5,5,2,4,5,4,5,1,1,5,3,4,4,2,2,5,1,5,1,1,1,3,3,"yes","no",2.2,2.13333333333333,3.45,1.8,0.923,"High human development index"
"589","Ireland",45,"Male","No Kids","ma","full-time",150000,"",7,0,"Village","Married","0",0,2,1,2,1,1,1,1,1,1,3,2,1,2,1,2,3,1,2,1,1,2,1,2,2,2,1,1,2,3,1,1,3,1,2,3,4,2,3,3,3,3,4,3,4,4,"no","no",1.4,1.53333333333333,2.1,3.6,0.923,"High human development index"
"590","Ireland",45,"Female","Yes Kids","deg","full-time",67500,"",6,0,"Village","Separated","0",3,3,3,3,2,2,1,1,1,4,3,5,3,2,3,2,3,3,2,2,2,3,1,2,3,5,2,2,2,3,2,3,3,2,4,2,3,2,4,3,3,2,2,1,1,2,"yes","no",2.6,2.46666666666667,2.7,1.6,0.923,"High human development index"
"591","Ireland",25,"Male","No Kids","ma","full-time",35000,"",1,2,"Village","Single","0",0,4,4,4,3,3,2,4,4,5,4,3,5,4,2,4,4,4,4,4,4,4,3,3,5,2,4,4,4,4,4,4,4,3,3,4,5,4,5,5,5,2,3,2,1,3,"yes","yes",3.6,3.8,3.95,2.2,0.923,"High human development index"
"592","Ireland",32.5,"Female","No Kids","ltuni","full-time",35000,"",1,0,"","Married","0",0,5,5,5,5,5,1,1,1,5,4,5,5,4,3,5,1,1,1,5,3,5,1,2,3,2,3,5,5,5,4,5,5,1,1,4,2,1,4,4,3,3,3,3,3,3,"yes","yes",5,3,3.25,3,0.923,"High human development index"
"593","Ireland",23,"Female","No Kids","deg","full-time",25000,"",0,7,"Large Town","Single","0",0,4,5,5,2,2,1,1,5,4,2,4,5,4,1,3,4,2,3,2,4,4,3,1,5,4,3,4,4,5,1,2,4,2,4,4,3,2,4,5,4,4,4,3,3,3,"yes","yes",3.6,3,3.4,3.4,0.923,"High human development index"
"594","Italy",16.5,"Female","No Kids","high","student",NA,"0",0,0,"Large Town","Single","0",0,2,4,2,4,1,2,3,1,2,3,2,3,3,3,3,4,4,4,4,2,4,2,4,3,3,2,3,3,3,4,3,3,2,2,3,3,2,3,3,2,3,2,3,2,2,"yes","yes",2.6,2.86666666666667,2.85,2.4,0.887,"Medium-high human development index"
"595","Italy",55,"Female","No Kids","ma","full-time",87500,"manager",17,0,"Large-City","Widowed","0",0,2,2,2,1,2,2,3,3,3,3,1,1,3,2,3,2,3,4,1,3,3,3,4,5,4,3,2,2,2,2,4,2,3,2,3,3,3,3,3,3,4,3,4,4,4,"no","no",1.8,2.46666666666667,2.95,3.8,0.887,"Medium-high human development index"
"596","Italy",28,"Female","No Kids","deg","full-time",10000,"Doctor; Physician",1,0,"Medium-Sized","Single","0",0,5,5,5,2,3,1,2,2,2,2,2,1,3,3,2,4,2,4,1,1,2,2,3,5,1,2,2,4,2,4,4,2,2,3,4,5,4,3,2,2,2,1,1,4,2,"yes","yes",4,2.13333333333333,2.9,2,0.887,"Medium-high human development index"
"597","Italy",25,"Male","No Kids","deg","student",10000,"please specify",5,6,"Large-City","Single","0",0,2,3,4,4,3,2,2,2,3,3,3,1,2,4,4,4,2,5,1,2,3,1,3,3,4,2,3,3,4,1,5,2,3,2,2,4,2,3,3,2,2,2,2,3,1,"no","yes",3.2,2.66666666666667,2.75,2,0.887,"Medium-high human development index"
"598","Italy",55,"Male","Yes Kids","phd","full-time",67500,"0",10,0,"Large-City","Married","0",2,5,5,2,4,4,1,1,2,2,2,4,1,2,3,2,4,1,5,1,3,3,1,2,3,4,1,3,2,2,5,4,1,1,2,3,2,1,3,3,3,4,1,1,2,2,"yes","yes",4,2.26666666666667,2.45,2,0.887,"Medium-high human development index"
"599","Italy",45,"Male","Yes Kids","deg","full-time",250000,"Financial Advisor",23,0,"Large-City","Married","1",1,5,5,5,5,5,1,1,1,5,4,4,2,2,2,3,1,1,1,1,2,2,3,1,5,1,1,4,1,1,1,5,1,1,1,2,3,2,4,5,1,1,1,1,1,1,"no","no",5,2.06666666666667,2.25,1,0.887,"Medium-high human development index"
"600","Italy",55,"Female","Yes Kids","ltuni","full-time",NA," teacher",10,0,"Small Town","Divorced","0",1,4,2,3,2,2,1,1,1,2,2,3,3,1,1,1,3,2,2,1,1,5,2,2,1,3,2,4,4,4,1,4,2,1,2,3,2,3,5,4,4,4,3,2,3,2,"yes","yes",2.6,1.66666666666667,2.9,2.8,0.887,"Medium-high human development index"
"601","Italy",55,"Male","Yes Kids","ma","full-time",250000,"entrepreneur",10,0,"Large-City","Married","0",0,2,2,2,2,2,5,2,2,3,3,1,2,3,1,3,1,2,1,1,5,3,1,2,1,1,5,2,5,2,1,4,2,2,2,3,3,2,2,1,2,3,2,2,3,3,"no","no",2,2.33333333333333,2.3,2.6,0.887,"Medium-high human development index"
"602","Italy",45,"Male","No Kids","phd","full-time",150000,"Financial Advisor",4,0,"Large-City","Separated","0",0,3,4,4,3,3,3,2,3,3,3,4,5,3,3,4,3,2,3,1,2,3,1,3,2,3,1,3,4,3,1,4,3,1,2,3,5,3,2,2,4,5,4,3,2,4,"yes","yes",3.4,2.93333333333333,2.65,3.6,0.887,"Medium-high human development index"
"603","Italy",55,"Female","No Kids","phd","retired",67500,"retired",0,3,"Large-City","Married","0",0,4,4,5,4,4,1,3,4,4,4,4,5,4,3,4,2,3,4,3,4,4,4,2,3,5,5,2,5,1,2,1,4,2,3,4,4,3,4,3,4,2,1,1,2,2,"yes","yes",4.2,3.46666666666667,3.25,1.6,0.887,"Medium-high human development index"
"604","Italy",7.5,"Male","No Kids","lthigh","student",10000,"please specify",10,5,"Small City","Single","0",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,4,1,2,3,1,1,3,3,2,2,5,1,5,1,3,3,2,5,3,1,3,3,2,3,5,5,4,5,"yes","yes",3,2.86666666666667,2.6,4.4,0.887,"Medium-high human development index"
"605","Italy",32.5,"Male","No Kids","ma","full-time",25000,"0",3,8,"Small Town","Single","0",0,3,4,2,3,3,1,2,2,3,4,5,5,3,4,4,3,2,3,1,1,4,4,3,5,3,2,3,3,3,4,3,3,2,2,4,5,3,4,5,4,2,3,2,3,3,"yes","yes",3,2.86666666666667,3.45,2.6,0.887,"Medium-high human development index"
"606","Italy",67.5,"Male","Yes Kids","ma","retired",25000,"0",2,0,"Large-City","Separated","0",2,5,4,3,1,1,1,1,3,2,2,1,1,1,1,1,2,2,5,1,1,2,1,1,2,3,1,3,5,5,1,4,3,1,1,3,5,4,4,4,5,4,2,3,1,2,"yes","yes",2.8,1.66666666666667,2.9,2.4,0.887,"Medium-high human development index"
"607","Italy",67.5,"Male","Yes Kids","phd","full-time",250000,"free professionist",30,0,"Small City","Married","1",7,3,2,3,2,2,1,1,2,1,1,4,2,3,2,2,5,5,1,1,1,3,1,3,3,2,2,1,3,3,5,5,1,5,5,4,3,2,3,4,2,1,4,4,3,3,"yes","no",2.4,2.13333333333333,3,3,0.887,"Medium-high human development index"
"608","Italy",45,"Male","Yes Kids","ma","full-time",55000,"Agronomist",10,0,"Medium-Sized","Married","1",0,2,2,2,2,3,3,3,3,4,4,4,4,1,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,2,3,2,1,4,3,4,1,4,4,2,1,2,3,"yes","yes",2.2,3.8,3.15,2.4,0.887,"Medium-high human development index"
"609","Italy",19,"Female","No Kids","high","student",NA,"0",0,0,"Small Town","Single","0",0,4,5,5,4,4,2,4,2,5,5,5,5,3,5,5,1,5,5,5,2,5,4,5,5,5,5,3,5,4,5,1,5,2,3,4,5,5,4,5,3,1,3,2,1,1,"yes","yes",4.4,3.93333333333333,4.15,1.6,0.887,"Medium-high human development index"
"610","Italy",55,"Male","Yes Kids","ma","student",67500,"college professor",28,0,"Large-City","Married","0",2,4,3,3,1,2,3,4,5,4,4,4,4,5,5,5,2,4,2,2,2,4,1,4,2,4,3,3,5,4,1,3,5,4,2,5,3,3,4,3,4,4,4,4,4,2,"yes","yes",2.6,3.66666666666667,3.35,3.6,0.887,"Medium-high human development index"
"611","Italy",19,"Male","No Kids","high","student",NA,"0",0,0,"Small Town","Single","0",0,5,1,1,1,2,1,1,1,2,1,1,2,5,1,2,2,1,3,1,1,2,1,1,1,3,3,3,1,2,3,4,1,2,3,2,1,2,2,3,4,5,5,4,3,4,"no","yes",2,1.66666666666667,2.2,4.2,0.887,"Medium-high human development index"
"612","Italy",45,"Male","No Kids","phd","full-time",35000,"0",3,0,"Large-City","Single","0",0,3,3,3,3,3,1,1,1,2,2,3,2,3,3,2,4,2,4,1,1,3,3,4,4,2,2,3,3,4,3,2,3,2,3,2,4,4,2,3,4,2,2,3,3,2,"yes","no",3,2.13333333333333,3,2.4,0.887,"Medium-high human development index"
"613","Italy",20,"Female","No Kids","high","student",10000,"please specify",2,2,"Medium-Sized","Single","0",0,4,4,5,3,3,1,5,2,5,5,1,3,3,3,5,2,5,3,5,2,3,4,4,5,3,5,3,5,4,5,5,5,2,5,5,5,5,4,3,5,1,1,1,1,2,"yes","yes",3.8,3.33333333333333,4.25,1.2,0.887,"Medium-high human development index"
"614","Italy",55,"Male","Yes Kids","deg","full-time",67500,"manager",7,0,"Medium-Sized","Married","1",1,2,2,4,2,2,2,4,4,2,1,2,2,5,3,2,1,3,4,2,1,2,1,2,1,4,3,3,3,2,2,3,2,3,4,3,2,2,3,2,4,4,4,4,4,4,"yes","no",2.4,2.53333333333333,2.55,4,0.887,"Medium-high human development index"
"615","Italy",28,"Male","No Kids","ma","full-time",25000,"Financial Advisor",6,0,"Large Town","Single","0",0,3,3,2,2,2,1,1,1,3,2,3,1,2,2,2,2,2,1,2,2,3,1,2,2,1,2,1,2,2,1,1,2,1,2,3,2,1,3,3,2,2,3,3,3,1,"yes","no",2.4,1.8,1.85,2.4,0.887,"Medium-high human development index"
"616","Italy",55,"Male","Yes Kids","dip","full-time",87500,"0",17,0,"Medium-Sized","Married","0",2,3,3,3,2,4,2,2,4,2,2,2,3,3,3,3,2,2,3,4,3,3,3,4,5,2,3,4,1,4,3,5,2,3,2,1,4,3,4,2,4,1,1,1,1,1,"yes","yes",3,2.66666666666667,3.1,1,0.887,"Medium-high human development index"
"617","Italy",28,"Male","No Kids","ma","full-time",35000,"dentist",3,0,"Large-City","Single","0",0,4,4,4,4,4,2,5,2,4,5,5,4,2,5,5,3,5,4,5,5,4,4,4,4,4,2,4,5,5,5,4,4,4,4,3,4,4,2,4,2,2,3,2,2,2,"yes","yes",4,4.06666666666667,3.8,2.2,0.887,"Medium-high human development index"
"618","Italy",45,"Male","Yes Kids","phd","full-time",150000,"manager",8,6,"Large-City","Divorced","0",0,4,5,5,3,4,5,5,5,4,5,1,5,5,1,4,5,5,5,1,4,1,3,5,5,1,4,4,5,4,2,1,4,5,4,5,5,4,4,4,4,3,4,3,4,1,"yes","yes",4.2,4,3.7,3,0.887,"Medium-high human development index"
"619","Italy",45,"Male","No Kids","grade","full-time",150000,"director",7,0,"Large-City","Single","0",0,4,4,4,3,3,3,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,2,3,3,3,2,4,3,5,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,1,"yes","yes",3.6,3.13333333333333,3.25,2.6,0.887,"Medium-high human development index"
"620","Italy",67.5,"Male","Yes Kids","ma","retired",67500,"0",0,0,"Medium-Sized","Married","1",10,4,3,3,2,2,1,1,2,2,1,4,1,2,1,1,1,1,4,1,2,2,1,2,2,4,2,2,2,3,2,4,2,2,2,2,3,2,3,1,3,4,4,4,4,3,"yes","no",2.8,1.66666666666667,2.3,3.8,0.887,"Medium-high human development index"
"621","Italy",45,"Male","Yes Kids","ma","full-time",NA,"0",2,0,"Medium-Sized","Married","0",0,4,4,4,3,3,2,2,2,3,3,3,2,3,2,2,4,3,2,2,3,3,2,2,2,2,2,2,3,3,4,4,3,2,3,3,3,3,2,3,2,3,2,3,3,2,"yes","no",3.6,2.53333333333333,2.65,2.6,0.887,"Medium-high human development index"
"622","Italy",37.5,"Male","No Kids","ma","full-time",25000,"0",0,0,"Medium-Sized","Single","0",0,1,1,3,3,2,1,1,2,1,1,1,1,1,1,1,1,5,2,1,3,2,1,1,1,1,2,1,3,2,1,5,1,1,3,1,3,1,3,1,1,2,3,2,2,3,"no","no",2,1.53333333333333,1.75,2.4,0.887,"Medium-high human development index"
"623","Italy",32.5,"Female","No Kids","ltuni","unemployed",NA,"0",0,0,"Small City","Single","0",0,4,4,4,4,4,2,4,5,5,4,5,4,4,2,5,3,3,4,1,5,4,2,3,3,4,5,4,4,4,2,3,4,3,4,4,2,3,4,5,4,4,2,1,1,5,"yes","no",4,3.73333333333333,3.55,2.6,0.887,"Medium-high human development index"
"624","Italy",45,"Female","No Kids","deg","full-time",55000,"Financial Controller",7,0,"Small City","Single","0",0,5,5,5,3,3,1,4,4,5,5,4,5,5,4,5,5,5,2,5,4,5,3,4,5,4,2,4,5,4,5,5,2,4,4,5,5,4,5,4,2,1,2,1,2,1,"yes","yes",4.2,4.2,4.05,1.4,0.887,"Medium-high human development index"
"625","Italy",45,"Male","No Kids","phd","full-time",67500,"attorney",17,9,"Large-City","Married","0",0,3,4,4,1,1,2,3,5,4,3,3,4,4,2,2,4,4,3,4,2,4,5,4,2,4,4,4,4,4,2,2,5,2,4,5,5,4,4,4,5,4,4,3,2,3,"yes","yes",2.6,3.26666666666667,3.85,3.2,0.887,"Medium-high human development index"
"626","Italy",80,"Male","Yes Kids","ltuni","retired",250000,"0",0,0,"Medium-Sized","Married","0",5,4,4,4,2,2,1,1,3,2,2,1,1,2,2,2,1,1,3,2,1,1,1,2,1,3,1,4,3,1,1,5,1,4,5,2,4,3,4,4,3,5,4,4,5,5,"yes","yes",3.2,1.66666666666667,2.65,4.6,0.887,"Medium-high human development index"
"627","Italy",67.5,"Female","Yes Kids","ltuni","retired",NA," houswife",30,0,"Large-City","Married","0",4,5,4,4,1,1,4,2,3,3,2,2,3,3,2,1,1,2,5,1,2,4,4,1,1,3,4,2,4,2,1,3,3,3,4,4,1,2,2,3,3,4,5,2,4,2,"yes","yes",3,2.4,2.7,3.4,0.887,"Medium-high human development index"
"628","Italy",25,"Female","No Kids","ma","student",10000,"please specify",0,4,"Medium-Sized","Single","0",0,5,4,4,2,3,2,4,5,4,3,1,5,3,3,3,3,4,5,5,1,5,2,3,3,4,4,4,5,4,3,1,4,4,3,4,4,3,3,5,5,3,3,4,3,1,"yes","yes",3.6,3.4,3.65,2.8,0.887,"Medium-high human development index"
"629","Italy",28,"Female","No Kids","dip","student",NA,"0",0,0,"Small Town","Single","0",0,5,5,5,5,5,4,4,5,4,3,5,5,3,3,4,5,5,5,3,4,4,4,4,4,4,2,2,5,3,4,4,4,2,4,4,4,4,3,4,4,3,4,3,2,2,"yes","yes",5,4.13333333333333,3.65,2.8,0.887,"Medium-high human development index"
"630","Italy",37.5,"Female","Yes Kids","phd","part-time",250000,"college professor",4,0,"Large-City","Married","1",0,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,1,5,4,3,3,3,3,3,3,4,4,5,3,4,3,2,5,4,4,4,4,3,3,3,3,3,2,"yes","",4,3.06666666666667,3.55,2.8,0.887,"Medium-high human development index"
